District,Commodity,Mean_Price,Std_Price,Record_Count
agra,Onion,2016.67,819.93,2536
agra,Potato,1270.51,456.45,3340
agra,Rice,3370.2,90.09,101
agra,Tomato,3319.06,2588.96,366
agra,Wheat,2375.22,138.79,568
aligarh,Onion,2220.56,819.84,1544
aligarh,Potato,1266.61,439.41,2443
aligarh,Rice,3420.62,36.75,48
aligarh,Tomato,3289.71,2635.33,248
aligarh,Wheat,2344.63,128.31,630
ambedkarnagar,Onion,2256.33,908.22,698
ambedkarnagar,Potato,1390.46,499.22,804
ambedkarnagar,Rice,3255.32,37.68,47
ambedkarnagar,Tomato,3902.92,2636.34,144
ambedkarnagar,Wheat,2391.13,112.39,194
amethi,Onion,2301.9,893.31,1366
amethi,Potato,1388.39,509.27,1538
amethi,Rice,3286.01,30.38,69
amethi,Tomato,4682.52,2618.92,111
amethi,Wheat,2389.47,109.43,473
amroha,Onion,1622.96,843.33,1514
amroha,Potato,1186.82,469.26,1741
amroha,Rice,3244.89,15.61,44
amroha,Tomato,2278.56,2040.39,245
amroha,Wheat,2263.32,143.18,327
auraiya,Onion,2252.22,955.44,1273
auraiya,Potato,1267.07,456.06,1698
auraiya,Rice,3037.55,15.14,104
auraiya,Tomato,3085.54,2378.75,221
auraiya,Wheat,2366.96,114.74,448
azamgarh,Onion,2336.88,948.74,600
azamgarh,Potato,1391.66,501.95,674
azamgarh,Rice,3289.67,30.54,46
azamgarh,Tomato,3377.67,2592.64,105
azamgarh,Wheat,2359.34,89.48,182
badaun,Onion,2045.21,830.73,2384
badaun,Potato,1252.43,469.64,3784
badaun,Rice,3327.95,22.93,78
badaun,Tomato,3776.03,2916.73,273
badaun,Wheat,2357.22,158.8,822
baghpat,Onion,2237.32,1058.31,756
baghpat,Potato,1262.84,474.11,1497
baghpat,Rice,3240.98,5.66,51
baghpat,Tomato,2018.24,1549.77,85
bahraich,Onion,2362.39,908.31,1090
bahraich,Potato,1499.23,520.19,1257
bahraich,Rice,3244.62,26.88,52
bahraich,Tomato,4589.67,2727.94,135
bahraich,Wheat,2396.58,85.38,406
ballia,Onion,2402.88,974.3,1733
ballia,Potato,1449.33,529.36,1991
ballia,Rice,3121.09,409.74,160
ballia,Tomato,4009.8,2860.92,200
ballia,Wheat,2352.17,94.06,409
balrampur,Onion,2621.51,1165.09,1301
balrampur,Potato,1568.38,598.46,1548
balrampur,Rice,3052.54,181.73,132
balrampur,Tomato,4266.5,2619.55,143
balrampur,Wheat,2371.91,347.4,538
banda,Onion,2273.87,1005.76,1180
banda,Potato,1422.58,495.62,1341
banda,Rice,3032.55,269.46,49
banda,Tomato,3443.28,2680.01,241
banda,Wheat,2278.62,105.93,405
barabanki,Onion,2352.07,980.0,1167
barabanki,Potato,1433.71,541.17,1315
barabanki,Rice,3241.4,241.32,68
barabanki,Tomato,4467.11,2710.95,128
barabanki,Wheat,2392.83,108.24,274
bareilly,Onion,1983.38,796.59,1736
bareilly,Potato,1188.13,459.18,1939
bareilly,Rice,3060.69,238.07,101
bareilly,Tomato,3495.87,2614.11,212
bareilly,Wheat,2368.44,74.72,194
basti,Onion,2392.0,969.49,566
basti,Potato,1451.88,525.1,648
basti,Rice,3214.49,13.36,49
basti,Tomato,3669.15,2650.83,82
basti,Wheat,2355.74,94.34,197
bijnor,Onion,1989.94,822.3,1417
bijnor,Potato,1331.43,523.09,2147
bijnor,Tomato,3131.65,2579.83,182
bijnor,Wheat,2381.76,97.92,145
bulandshahar,Onion,2139.41,874.85,4255
bulandshahar,Potato,1252.06,485.42,4989
bulandshahar,Rice,3238.39,7.92,153
bulandshahar,Tomato,3067.3,2407.31,403
bulandshahar,Wheat,2323.68,125.16,913
chandauli,Onion,2371.67,1017.63,544
chandauli,Potato,1460.12,534.03,617
chandauli,Rice,3337.2,26.23,50
chandauli,Tomato,3456.01,2648.03,69
chandauli,Wheat,2372.93,95.03,200
deoria,Onion,2359.77,979.52,526
deoria,Potato,1425.81,527.93,583
deoria,Rice,3201.29,15.59,35
deoria,Tomato,3835.85,2616.57,71
deoria,Wheat,2341.57,99.28,236
etah,Onion,2107.86,817.56,923
etah,Potato,1283.25,479.37,1022
etah,Rice,3264.05,28.98,37
etah,Tomato,2397.25,2005.1,71
etah,Wheat,2305.82,93.02,350
etawah,Onion,2336.14,930.58,1700
etawah,Potato,1357.75,455.25,1961
etawah,Rice,3101.49,46.58,94
etawah,Tomato,3466.33,2465.82,165
etawah,Wheat,2386.1,118.42,427
fatehpur,Onion,2283.5,1005.11,1710
fatehpur,Potato,1286.06,536.45,2227
fatehpur,Rice,2975.24,232.78,188
fatehpur,Tomato,3649.28,2793.32,188
fatehpur,Wheat,2317.14,110.99,969
firozabad,Onion,2052.94,921.44,1441
firozabad,Potato,1176.98,499.34,1858
firozabad,Rice,3395.77,34.2,84
firozabad,Tomato,3691.51,2740.05,146
firozabad,Wheat,2415.03,147.8,407
ghaziabad,Onion,2311.94,949.72,1986
ghaziabad,Potato,1363.13,527.53,2376
ghaziabad,Rice,3292.04,540.77,98
ghaziabad,Tomato,3860.09,2556.04,158
ghaziabad,Wheat,2374.4,116.52,498
ghazipur,Onion,2314.15,1013.39,518
ghazipur,Potato,1367.9,527.79,586
ghazipur,Rice,4089.41,825.37,88
ghazipur,Tomato,3682.91,2778.19,75
ghazipur,Wheat,2373.6,133.06,216
gonda,Onion,2469.2,1015.02,1280
gonda,Potato,1488.38,531.14,1495
gonda,Rice,3233.55,858.82,107
gonda,Tomato,4221.29,2885.82,93
gonda,Wheat,2405.28,100.08,398
gorakhpur,Onion,2463.24,911.93,1141
gorakhpur,Potato,1717.39,635.9,1295
gorakhpur,Rice,3052.23,277.6,65
gorakhpur,Tomato,4549.5,2738.76,150
gorakhpur,Wheat,2328.01,190.68,302
hardoi,Onion,2322.72,922.25,2700
hardoi,Potato,1444.88,507.47,3096
hardoi,Rice,3159.98,75.97,246
hardoi,Tomato,4553.62,2782.28,206
hardoi,Wheat,2343.58,100.9,954
jaunpur,Onion,2349.88,979.7,1587
jaunpur,Potato,1415.61,526.76,1860
jaunpur,Rice,3332.8,127.39,152
jaunpur,Tomato,4776.76,2912.23,142
jaunpur,Wheat,2381.41,89.35,457
jhansi,Onion,2087.41,940.45,3108
jhansi,Potato,1481.92,527.47,3185
jhansi,Rice,3523.63,36.54,62
jhansi,Tomato,4802.14,3052.17,313
jhansi,Wheat,2326.21,96.37,701
kaushambi,Onion,2517.19,1045.36,625
kaushambi,Potato,1504.31,565.17,879
kaushambi,Rice,2957.84,266.07,67
kaushambi,Tomato,3973.66,2809.22,82
kaushambi,Wheat,2313.5,68.82,60
kushinagar,Onion,2257.83,855.91,223
kushinagar,Potato,1633.43,518.04,232
kushinagar,Rice,2872.98,58.12,42
kushinagar,Wheat,2368.55,49.79,62
lalitpur,Onion,2103.41,980.68,561
lalitpur,Potato,1506.91,537.06,636
lalitpur,Rice,3460.44,14.69,34
lalitpur,Tomato,4550.1,2982.36,48
lalitpur,Wheat,2312.14,127.12,313
lucknow,Onion,2407.03,944.27,608
lucknow,Potato,1473.17,510.37,694
lucknow,Rice,3044.87,328.0,97
lucknow,Tomato,5043.19,2889.45,47
lucknow,Wheat,2447.02,115.41,316
maharajganj,Onion,2206.17,867.17,1933
maharajganj,Potato,1460.62,546.49,2216
maharajganj,Rice,3048.18,146.72,134
maharajganj,Tomato,3091.26,2411.46,253
maharajganj,Wheat,2316.41,110.94,468
mahoba,Onion,2339.34,1043.21,574
mahoba,Potato,1463.86,510.31,659
mahoba,Rice,3175.29,125.46,52
mahoba,Tomato,5202.92,2996.65,53
mahoba,Wheat,2310.99,112.75,328
mainpuri,Onion,2185.12,933.39,1132
mainpuri,Potato,1240.09,489.56,1826
mainpuri,Rice,3394.95,313.06,103
mainpuri,Tomato,4117.84,2747.72,104
mainpuri,Wheat,2268.97,97.91,536
mathura,Onion,2230.81,926.08,952
mathura,Potato,1365.44,500.76,1099
mathura,Rice,3363.11,36.81,98
mathura,Tomato,4600.8,2661.11,75
mathura,Wheat,2386.18,125.49,229
meerut,Onion,2158.99,940.03,707
meerut,Potato,1379.28,503.07,764
meerut,Rice,3233.78,38.23,45
meerut,Tomato,4632.62,2751.88,61
meerut,Wheat,2378.66,104.91,216
mirzapur,Onion,2145.4,915.21,1140
mirzapur,Potato,1343.14,478.0,1323
mirzapur,Rice,3292.5,178.67,48
mirzapur,Tomato,3755.35,2810.34,174
mirzapur,Wheat,2375.38,102.92,395
muzaffarnagar,Onion,2036.59,975.04,946
muzaffarnagar,Potato,1328.92,515.69,1009
muzaffarnagar,Rice,3213.2,351.7,44
muzaffarnagar,Tomato,3914.4,2683.13,58
muzaffarnagar,Wheat,2373.07,123.39,230
pratapgarh,Onion,2060.88,1087.54,1005
pratapgarh,Potato,1421.73,544.18,688
pratapgarh,Rice,3126.73,11.39,55
pratapgarh,Tomato,5410.25,2531.98,61
pratapgarh,Wheat,2402.93,110.28,392
prayagraj,Onion,2244.98,979.3,1620
prayagraj,Potato,1385.15,539.66,1789
prayagraj,Rice,3513.9,1454.9,111
prayagraj,Tomato,2945.55,2327.09,229
prayagraj,Wheat,2344.76,75.34,415
rampur,Onion,2230.14,980.04,1187
rampur,Potato,1397.19,523.07,1316
rampur,Rice,3252.79,7.3,52
rampur,Tomato,4193.55,2946.89,110
rampur,Wheat,2342.69,114.49,321
saharanpur,Onion,2135.57,904.67,2021
saharanpur,Potato,1280.09,486.59,2403
saharanpur,Rice,3390.82,11.56,49
saharanpur,Tomato,2977.38,2362.56,202
saharanpur,Wheat,2392.24,119.39,205
sambhal,Onion,2117.18,873.31,1571
sambhal,Potato,1299.46,548.54,2487
sambhal,Rice,3247.95,10.75,44
sambhal,Tomato,3142.82,2696.04,200
sambhal,Wheat,2369.73,104.41,273
shahjahanpur,Onion,2248.8,939.84,1655
shahjahanpur,Potato,1266.76,526.95,2345
shahjahanpur,Rice,3287.16,34.56,109
shahjahanpur,Tomato,4131.29,3002.13,112
shahjahanpur,Wheat,2383.75,100.32,355
shravasti,Onion,2539.75,1040.46,521
shravasti,Potato,1523.01,577.71,618
sitapur,Onion,2231.3,936.16,2105
sitapur,Potato,1371.08,509.72,2419
sitapur,Rice,3139.46,21.49,93
sitapur,Tomato,4653.24,2855.08,94
sitapur,Wheat,2331.58,84.45,674
sonbhadra,Onion,2125.3,860.6,894
sonbhadra,Potato,1400.06,466.7,940
sonbhadra,Rice,3338.49,34.75,43
sonbhadra,Tomato,3619.44,2388.05,116
sonbhadra,Wheat,2376.36,90.57,190
unnao,Onion,2345.88,952.41,1754
unnao,Potato,1434.3,513.5,2029
unnao,Rice,3164.3,43.69,157
unnao,Tomato,4419.26,2846.76,196
unnao,Wheat,2359.75,107.47,572
varanasi,Onion,2322.87,957.74,442
varanasi,Potato,1394.48,526.21,512
varanasi,Rice,3346.89,24.01,45
varanasi,Tomato,4946.7,2845.26,44
varanasi,Wheat,2391.1,84.11,191
